pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,selected_variant,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,D_total,D_med,D_bias,rot_err_deg,trans_dir_err_deg
60,GreatCourt,seq1,,,GreatCourt/seq1/frame00193.png,GreatCourt/seq3/frame00323.png,v3_B2A_p2_s2,59.209895,2.915817,59.287229,nan,57.09768789738219,17.505975787274533,39.59171211010765,11.295957979451172,59.367845582463694
61,Street,img_north,,,Street/img_north/image_north_1_0458.png,Street/img_east/image_east_0416.png,v3_B2A_p2_s2,55.254535,2.490401,55.582898,nan,12.679361275738867,3.2177963605137547,9.461564915225111,3.4735620079106533,nan
62,GreatCourt,seq5,,,GreatCourt/seq5/frame00353.png,GreatCourt/seq1/frame00203.png,v3_B2A_p2_s2,56.379565,7.555912,57.172223,nan,44.5343585829566,19.98718814515694,24.547170437799657,0.9507173584348443,30.66395588325532
63,GreatCourt,seq4,,,GreatCourt/seq4/frame00130.png,GreatCourt/seq1/frame00168.png,v3_B2A_p2_s2,53.369228,1.387911,53.788154,nan,5.919126049062756,3.5805728525522666,2.338553196510489,4.623961261035893,5.938851695396375
64,Street,img,,,Street/img/image2_001785.png,Street/img_east/image_east_0125.png,v3_B2A_p2_s2,50.63714,8.90133,52.930106,nan,18.954042882917797,5.584996010090125,13.36904687282767,1.432745995153094,nan
65,Street,img_east,,,Street/img_east/image_east_0227.png,Street/img/image2_001299.png,v1_A2B_p2_s2,56.56247,8.377901,57.192433,nan,11.581790785551242,2.0469176311214072,9.534873154429835,6.9010700739613595,nan
66,GreatCourt,seq3,,,GreatCourt/seq3/frame00149.png,GreatCourt/seq5/frame00588.png,v3_B2A_p2_s2,64.279627,1.405014,64.496044,nan,54.77868312422494,50.121535639493345,4.657147484731592,90.55336683888589,17.624657819539703
67,GreatCourt,seq2,,,GreatCourt/seq2/frame00105.png,GreatCourt/seq5/frame00267.png,v1_A2B_p2_s2,56.342509,3.316167,56.433689,nan,20.012203533026458,4.470211959298551,15.541991573727906,2.5206704803942346,5.820613872632806
68,GreatCourt,seq1,,,GreatCourt/seq1/frame00111.png,GreatCourt/seq3/frame00255.png,v0_A2B_p1_s1,54.832442,6.296675,55.2816,nan,18.2207384661264,5.378290276204934,12.842448189921466,0.4023052498742436,48.602594110213026
69,Street,img_north,,,Street/img_north/image_north_1_0425.png,Street/img_east/image_east_0380.png,v2_B2A_p1_s1,63.870937,1.572418,63.890389,nan,49.62378753686581,34.39997518538069,15.223812351485124,3.6261560982907,nan
70,GreatCourt,seq5,,,GreatCourt/seq5/frame00354.png,GreatCourt/seq1/frame00202.png,v2_B2A_p1_s1,59.825873,6.146908,60.194353,nan,20.620981092428465,8.289397358294357,12.331583734134107,0.9702083172320768,39.41473208331901
71,GreatCourt,seq4,,,GreatCourt/seq4/frame00129.png,GreatCourt/seq1/frame00168.png,v2_B2A_p1_s1,54.952665,1.033303,55.416059,nan,4.307551988420434,1.1149440219389701,3.1926079664814635,6.2899861726978115,27.984870996910253
72,Street,img,,,Street/img/image2_002340.png,Street/img/image2_002432.png,v1_A2B_p2_s2,57.518114,6.090878,57.940749,nan,18.244911922064862,12.97724309681224,5.267668825252623,6.354214368977037,nan
73,Street,img_east,,,Street/img_east/image_east_0268.png,Street/img/image2_001119.png,v0_A2B_p1_s1,59.256422,1.471334,61.455908,nan,13.918342602101884,3.1260527820603743,10.79228982004151,8.531967549697898,nan
74,GreatCourt,seq3,,,GreatCourt/seq3/frame00321.png,GreatCourt/seq1/frame00192.png,v2_B2A_p1_s1,64.389681,5.85706,64.681419,nan,10.60610817586809,3.280171646849424,7.3259365290186675,6.691630982481536,1.9607614591275866
75,GreatCourt,seq2,,,GreatCourt/seq2/frame00083.png,GreatCourt/seq5/frame00294.png,v1_A2B_p2_s2,59.293932,7.827446,60.275643,nan,24.50788245494597,12.05111461610186,12.456767838844112,2.3683499188392734,75.18717841119285
76,GreatCourt,seq1,,,GreatCourt/seq1/frame00405.png,GreatCourt/seq5/frame00201.png,v3_B2A_p2_s2,52.340551,4.614073,52.798218,nan,271.67100012401335,36.20720665623804,235.4637934677753,2.6819027572551297,54.591140929812056
77,Street,img_north,,,Street/img_north/image_north_2_0235.png,Street/img/image2_001386.png,v1_A2B_p2_s2,61.977309,0.662487,63.211509,nan,28.867837335721426,6.2565819413446935,22.61125539437673,3.0893563860923057,nan
