pair_idx,pair_dir,selected_variant,interpose_RE_deg,interpose_TE_deg,pair_only_RE_deg,pair_only_TE_deg,delta_RE_deg_inter_minus_pair,delta_TE_deg_inter_minus_pair
55,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00055_a401469cb0fa,v0_A2B_p1_s1,1.7314404301489679,4.30805814399789,nan,nan,nan,nan
56,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00056_c455899acfc8,v2_B2A_p1_s1,5.061911972149929,3.5492644863817064,nan,nan,nan,nan
57,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00057_073f5a9b983c,v2_B2A_p1_s1,8.991605593468252,4.738629997754679,nan,nan,nan,nan
58,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00058_fb3b73f1d3fe,v2_B2A_p1_s1,70.069623167871,30.13096321051122,nan,nan,nan,nan
59,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00059_565553aa894b,v3_B2A_p2_s2,14.855818016262056,5.69935190433321,nan,nan,nan,nan
60,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00060_a726c1112ad0,v2_B2A_p1_s1,1.3013673036563533,1.5561979104763217,nan,nan,nan,nan
61,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00061_7da3db99059a,v1_A2B_p2_s2,6.698073400424045,4.032385199531384,nan,nan,nan,nan
62,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00062_f004c810d94b,v2_B2A_p1_s1,0.43144411586916925,0.5092146875515844,nan,nan,nan,nan
63,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00063_800cf88687a7,v1_A2B_p2_s2,3.2039376454643835,2.947657626784662,nan,nan,nan,nan
64,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00064_1da888bdedfc,v1_A2B_p2_s2,3.925413247229737,1.6037342957286627,nan,nan,nan,nan
65,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00065_a62f9a1c6362,v3_B2A_p2_s2,2.9459137565490425,2.583502338290807,nan,nan,nan,nan
66,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00066_a726c1112ad0,v3_B2A_p2_s2,10.543271868741046,10.69896500305562,nan,nan,nan,nan
67,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00067_b3bf9079b442,v1_A2B_p2_s2,9.529215122692786,7.440646349581272,nan,nan,nan,nan
68,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00068_7da3db99059a,v3_B2A_p2_s2,9.095721587470333,2.926765007358269,nan,nan,nan,nan
69,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00069_f477ffc4b398,v1_A2B_p2_s2,3.031410841599904,5.1269870046488695,nan,nan,nan,nan
70,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00070_adb95f29c15b,v0_A2B_p1_s1,47.54618300388396,36.692820805450935,nan,nan,nan,nan
71,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00071_ec1e44d4dc0f,v2_B2A_p1_s1,1.196496155558736,1.4780154564606036,nan,nan,nan,nan
72,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00072_a62f9a1c6362,v1_A2B_p2_s2,1.6467053070730147,2.831407247840447,nan,nan,nan,nan
