pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,rot_err_deg,trans_dir_err_deg
82,GreatCourt,seq1,,,GreatCourt/seq1/frame00334.png,GreatCourt/seq3/frame00445.png,61.246602,2.006892,61.281141,nan,168.50732577651368,58.85214461478207
83,Street,img_north,,,Street/img_north/image_north_1_0428.png,Street/img_east/image_east_0383.png,64.882149,0.208388,64.884406,nan,0.8392813077727275,nan
84,GreatCourt,seq5,,,GreatCourt/seq5/frame00318.png,GreatCourt/seq1/frame00240.png,52.932312,6.026303,53.288703,nan,6.914584211533096,84.06177399837306
85,GreatCourt,seq4,,,GreatCourt/seq4/frame00045.png,GreatCourt/seq3/frame00482.png,52.680637,0.509147,52.96522,nan,88.33839979375564,69.43555170750399
86,Street,img,,,Street/img/image2_000208.png,Street/img/image2_000188.png,59.839877,0.231768,59.847664,nan,3.1543278301175524,nan
87,Street,img_east,,,Street/img_east/image_east_0226.png,Street/img/image2_001299.png,55.836578,7.881368,56.519123,nan,3.150596698214876,nan
88,GreatCourt,seq1,,,GreatCourt/seq1/frame00039.png,GreatCourt/seq5/frame00264.png,50.531646,1.568173,50.60999,nan,1.4320750499983428,34.26954472693025
89,Street,img_north,,,Street/img_north/image_north_1_0517.png,Street/img/image2_000300.png,60.424118,1.95899,60.530406,nan,3.136550023991833,nan
90,GreatCourt,seq5,,,GreatCourt/seq5/frame00583.png,GreatCourt/seq3/frame00145.png,52.094643,2.772649,52.500639,nan,167.58524567806217,67.53315101852559
91,Street,img,,,Street/img/image2_001919.png,Street/img_west/image_west_0492.png,60.795166,10.679214,61.663504,nan,61.66350386762775,nan
92,Street,img_east,,,Street/img_east/image_east_0132.png,Street/img_north/image_north_2_0154.png,63.151697,0.761429,63.165278,nan,2.0509611254885196,nan
93,GreatCourt,seq1,,,GreatCourt/seq1/frame00109.png,GreatCourt/seq3/frame00255.png,51.821242,3.911373,52.03203,nan,12.299816289957025,19.956870493654716
94,Street,img_north,,,Street/img_north/image_north_2_0373.png,Street/img/image2_000742.png,50.275673,2.405796,51.777352,nan,3.7213251252126076,nan
95,GreatCourt,seq5,,,GreatCourt/seq5/frame00084.png,GreatCourt/seq2/frame00211.png,64.691571,2.652116,65.283019,nan,2.378315513996918,43.11591720872491
96,Street,img,,,Street/img/image1_000377.png,Street/img/image1_000399.png,51.19766,1.224257,51.841153,nan,51.841152898486136,nan
97,Street,img_east,,,Street/img_east/image_east_0476.png,Street/img/image2_000312.png,59.402647,2.349766,59.452872,nan,3.210628982000643,nan
98,GreatCourt,seq1,,,GreatCourt/seq1/frame00038.png,GreatCourt/seq3/frame00516.png,50.21709,3.294304,50.324301,nan,2.400211850324155,56.11796536057349
99,Street,img_north,,,Street/img_north/image_north_1_0429.png,Street/img_east/image_east_0386.png,57.998569,3.564902,58.371682,nan,4.470048996391609,nan
100,GreatCourt,seq5,,,GreatCourt/seq5/frame00316.png,GreatCourt/seq2/frame00063.png,64.312785,3.189937,64.568878,nan,0.6792612748538233,50.18234182525719
101,Street,img,,,Street/img/image2_001780.png,Street/img_east/image_east_0127.png,56.100064,8.919171,58.153822,nan,1.654031826318396,nan
