pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
39,can_kernel_corn,multiview-03-pixel_6pro,multiview-03-pixel_6pro,can_kernel_corn/multiview-03-pixel_6pro/images/022.jpg,can_kernel_corn/multiview-03-pixel_6pro/images/023.jpg,73.949668,2.0804918808309614,1.8390272434068047
40,chicken_racer,multiview-12-pixel_5,multiview-12-pixel_5,chicken_racer/multiview-12-pixel_5/images/024.jpg,chicken_racer/multiview-12-pixel_5/images/027.jpg,55.30026,2.4036277404427673,4.439705713870763
41,circo_fish_toothbrush_holder_14995988,multiview-15-pixel_7,multiview-15-pixel_7,circo_fish_toothbrush_holder_14995988/multiview-15-pixel_7/images/123.jpg,circo_fish_toothbrush_holder_14995988/multiview-15-pixel_7/images/137.jpg,75.692816,0.7753451229116749,3.0412537930521975
42,dino_4,multiview-09-ipad_5,multiview-09-ipad_5,dino_4/multiview-09-ipad_5/images/043.jpg,dino_4/multiview-09-ipad_5/images/050.jpg,87.509858,167.03978316135039,83.70838738252213
43,dino_5,multiview-09-pixel_5,multiview-09-pixel_5,dino_5/multiview-09-pixel_5/images/030.jpg,dino_5/multiview-09-pixel_5/images/031.jpg,73.848037,7.349950660939596,3.9819288580058125
44,duck_bath_yellow_s,multiview-02-pixel_6pro,multiview-02-pixel_6pro,duck_bath_yellow_s/multiview-02-pixel_6pro/images/018.jpg,duck_bath_yellow_s/multiview-02-pixel_6pro/images/019.jpg,60.817333,3.9852193455572875,0.9140850367142236
45,fire_engine_toy_red_yellow_s,multiview-01-pixel_4a,multiview-01-pixel_4a,fire_engine_toy_red_yellow_s/multiview-01-pixel_4a/images/020.jpg,fire_engine_toy_red_yellow_s/multiview-01-pixel_4a/images/023.jpg,63.38283,1.9869293487880382,11.08696535728217
46,garbage_truck_green_toy_s,multiview-03-pixel_6pro,multiview-03-pixel_6pro,garbage_truck_green_toy_s/multiview-03-pixel_6pro/images/020.jpg,garbage_truck_green_toy_s/multiview-03-pixel_6pro/images/024.jpg,76.866624,5.742662350759756,1.1698855252063827
47,hand_drill_cordless_blue_black,multiview-00-pixel_6pro,multiview-00-pixel_6pro,hand_drill_cordless_blue_black/multiview-00-pixel_6pro/images/021.jpg,hand_drill_cordless_blue_black/multiview-00-pixel_6pro/images/024.jpg,88.556916,4.1677897424688215,3.5336706773283812
48,hut_mushrooms_showpiece,multiview-00-pixel_4a,multiview-00-pixel_4a,hut_mushrooms_showpiece/multiview-00-pixel_4a/images/018.jpg,hut_mushrooms_showpiece/multiview-00-pixel_4a/images/019.jpg,77.849423,0.9045226425936209,9.707141152396627
