pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
192,schleich_lion_action_figure,multiview-10-pixel_5,multiview-10-pixel_5,schleich_lion_action_figure/multiview-10-pixel_5/images/035.jpg,schleich_lion_action_figure/multiview-10-pixel_5/images/038.jpg,84.747628,2.075321247937481,2.5435334312188362
193,schleich_spinosaurus_action_figure,multiview-11-canon_t4i,multiview-11-canon_t4i,schleich_spinosaurus_action_figure/multiview-11-canon_t4i/images/042.jpg,schleich_spinosaurus_action_figure/multiview-11-canon_t4i/images/050.jpg,83.959316,1.7017570118866927,1.918800049850303
194,school_bus,multiview-10-pixel_5,multiview-10-pixel_5,school_bus/multiview-10-pixel_5/images/028.jpg,school_bus/multiview-10-pixel_5/images/034.jpg,50.811719,1.9873145518262565,1.6987074506083348
195,soldier_wood_showpiece,multiview-00-pixel_4a,multiview-00-pixel_4a,soldier_wood_showpiece/multiview-00-pixel_4a/images/020.jpg,soldier_wood_showpiece/multiview-00-pixel_4a/images/023.jpg,59.899886,1.8672702526856404,4.080781994285727
196,steps_small_showpiece,multiview-02-pixel_6pro,multiview-02-pixel_6pro,steps_small_showpiece/multiview-02-pixel_6pro/images/016.jpg,steps_small_showpiece/multiview-02-pixel_6pro/images/017.jpg,58.734272,5.759617041965757,6.301037839959869
197,tractor_green_showpiece,multiview-04-pixel_6pro,multiview-04-pixel_6pro,tractor_green_showpiece/multiview-04-pixel_6pro/images/016.jpg,tractor_green_showpiece/multiview-04-pixel_6pro/images/017.jpg,59.424833,3.460221019704495,0.9844651969543748
198,tumbler_air_balloon,multiview-04-pixel_6pro,multiview-04-pixel_6pro,tumbler_air_balloon/multiview-04-pixel_6pro/images/018.jpg,tumbler_air_balloon/multiview-04-pixel_6pro/images/019.jpg,76.754313,2.5400432058668345,1.8110329732778576
199,water_gun_toy_white,multiview-00-pixel_4a,multiview-00-pixel_4a,water_gun_toy_white/multiview-00-pixel_4a/images/016.jpg,water_gun_toy_white/multiview-00-pixel_4a/images/017.jpg,55.703711,1.0182842373183891,3.3262254795198922
200,water_gun_toy_yellow,multiview-00-pixel_4a,multiview-00-pixel_4a,water_gun_toy_yellow/multiview-00-pixel_4a/images/015.jpg,water_gun_toy_yellow/multiview-00-pixel_4a/images/016.jpg,68.692385,4.402866594408646,2.1329809106683384
201,weisshai_great_white_shark,multiview-07-sony_a7iv,multiview-07-sony_a7iv,weisshai_great_white_shark/multiview-07-sony_a7iv/images/031.jpg,weisshai_great_white_shark/multiview-07-sony_a7iv/images/038.jpg,65.043453,2.47391557886168,6.395046941483099
202,welcome_sign_mushrooms,multiview-01-pixel_4a,multiview-01-pixel_4a,welcome_sign_mushrooms/multiview-01-pixel_4a/images/016.jpg,welcome_sign_mushrooms/multiview-01-pixel_4a/images/018.jpg,58.887558,4.4740531822940355,3.48565574129659
203,3d_dollhouse_sink,multiview-04-canon_t4i,multiview-04-canon_t4i,3d_dollhouse_sink/multiview-04-canon_t4i/images/026.jpg,3d_dollhouse_sink/multiview-04-canon_t4i/images/028.jpg,84.603868,2.048919885433808,4.293822763281851
204,bottle_vitamin_d_tablets,multiview-04-pixel_6pro,multiview-04-pixel_6pro,bottle_vitamin_d_tablets/multiview-04-pixel_6pro/images/022.jpg,bottle_vitamin_d_tablets/multiview-04-pixel_6pro/images/023.jpg,62.206003,4.159431100535259,1.4258255451105728
205,box_multi_door_colored,multiview-00-pixel_4a,multiview-00-pixel_4a,box_multi_door_colored/multiview-00-pixel_4a/images/020.jpg,box_multi_door_colored/multiview-00-pixel_4a/images/024.jpg,60.294537,2.2865789268293515,1.127617839565873
206,bunny_racer,multiview-13-canon_t4i,multiview-13-canon_t4i,bunny_racer/multiview-13-canon_t4i/images/025.jpg,bunny_racer/multiview-13-canon_t4i/images/029.jpg,88.778083,2.431980387068239,1.7141703834405984
207,can_kernel_corn,multiview-02-pixel_6pro,multiview-02-pixel_6pro,can_kernel_corn/multiview-02-pixel_6pro/images/023.jpg,can_kernel_corn/multiview-02-pixel_6pro/images/024.jpg,79.512837,1.8463002031464792,1.8795361084533675
208,chicken_racer,multiview-12-pixel_5,multiview-12-pixel_5,chicken_racer/multiview-12-pixel_5/images/024.jpg,chicken_racer/multiview-12-pixel_5/images/025.jpg,88.507503,5.59575384244845,1.9777024120200286
209,circo_fish_toothbrush_holder_14995988,multiview-15-pixel_7,multiview-15-pixel_7,circo_fish_toothbrush_holder_14995988/multiview-15-pixel_7/images/127.jpg,circo_fish_toothbrush_holder_14995988/multiview-15-pixel_7/images/135.jpg,70.905859,3.5144093247253902,2.087688176384974
210,dino_4,multiview-09-pixel_5,multiview-09-pixel_5,dino_4/multiview-09-pixel_5/images/069.jpg,dino_4/multiview-09-pixel_5/images/072.jpg,58.928591,2.167970643358759,1.7147018033496022
211,dino_5,multiview-10-pixel_5,multiview-10-pixel_5,dino_5/multiview-10-pixel_5/images/029.jpg,dino_5/multiview-10-pixel_5/images/033.jpg,66.21831,2.319077785158475,2.01132234360716
212,duck_bath_yellow_s,multiview-00-pixel_4a,multiview-00-pixel_4a,duck_bath_yellow_s/multiview-00-pixel_4a/images/016.jpg,duck_bath_yellow_s/multiview-00-pixel_4a/images/017.jpg,80.390846,3.6338843152859557,2.129217637051215
213,fire_engine_toy_red_yellow_s,multiview-01-pixel_4a,multiview-01-pixel_4a,fire_engine_toy_red_yellow_s/multiview-01-pixel_4a/images/021.jpg,fire_engine_toy_red_yellow_s/multiview-01-pixel_4a/images/024.jpg,66.956553,0.8599192655125204,2.3192752826581775
214,garbage_truck_green_toy_s,multiview-00-pixel_4a,multiview-00-pixel_4a,garbage_truck_green_toy_s/multiview-00-pixel_4a/images/023.jpg,garbage_truck_green_toy_s/multiview-00-pixel_4a/images/024.jpg,66.350042,0.9708619396014818,1.1228414770105393
215,hand_drill_cordless_blue_black,multiview-04-pixel_6pro,multiview-04-pixel_6pro,hand_drill_cordless_blue_black/multiview-04-pixel_6pro/images/021.jpg,hand_drill_cordless_blue_black/multiview-04-pixel_6pro/images/022.jpg,61.399786,0.0,1.486797226150453
216,hut_mushrooms_showpiece,multiview-00-pixel_4a,multiview-00-pixel_4a,hut_mushrooms_showpiece/multiview-00-pixel_4a/images/016.jpg,hut_mushrooms_showpiece/multiview-00-pixel_4a/images/018.jpg,72.784377,0.19436124837874716,2.6332364497176792
217,ice_cream_cart_showpiece,multiview-00-pixel_4a,multiview-00-pixel_4a,ice_cream_cart_showpiece/multiview-00-pixel_4a/images/016.jpg,ice_cream_cart_showpiece/multiview-00-pixel_4a/images/017.jpg,54.273261,1.1028279474485587,1.5000782739850547
218,keywest_showpiece_s,multiview-03-pixel_6pro,multiview-03-pixel_6pro,keywest_showpiece_s/multiview-03-pixel_6pro/images/023.jpg,keywest_showpiece_s/multiview-03-pixel_6pro/images/024.jpg,82.977326,5.1626942295758145,3.1042257376576323
219,paper_weight_flowers_showpiece,multiview-00-pixel_4a,multiview-00-pixel_4a,paper_weight_flowers_showpiece/multiview-00-pixel_4a/images/016.jpg,paper_weight_flowers_showpiece/multiview-00-pixel_4a/images/019.jpg,51.651223,4.478333008894072,3.239897191493697
220,remote_control_toy_car_s,multiview-01-pixel_4a,multiview-01-pixel_4a,remote_control_toy_car_s/multiview-01-pixel_4a/images/021.jpg,remote_control_toy_car_s/multiview-01-pixel_4a/images/024.jpg,59.080929,0.798615955077476,1.7284661670706
221,schleich_african_black_rhino,multiview-07-ipad_5,multiview-07-ipad_5,schleich_african_black_rhino/multiview-07-ipad_5/images/035.jpg,schleich_african_black_rhino/multiview-07-ipad_5/images/038.jpg,71.297359,5.0188650114468825,3.5864922437852416
222,schleich_bald_eagle,multiview-11-pixel_7,multiview-11-pixel_7,schleich_bald_eagle/multiview-11-pixel_7/images/035.jpg,schleich_bald_eagle/multiview-11-pixel_7/images/045.jpg,82.088299,3.2738494358282577,2.193613868100723
223,schleich_hereford_bull,multiview-04-pixel_4xl,multiview-04-pixel_4xl,schleich_hereford_bull/multiview-04-pixel_4xl/images/036.jpg,schleich_hereford_bull/multiview-04-pixel_4xl/images/037.jpg,75.787796,1.4081569339237174,2.0098352497154144
